lemma	pos	semantic_tags
adoptiolapsi	noun	S4
adoptoida	verb	S4
adoptoija	noun	S4
adoptoiminen	noun	S4
adoptointi	noun	S4
adpositio	noun	Q3
adrenaliini	noun	B1/O1
adressi	noun	Q1.2
ADR-Haanpää	pnoun	Z3
Adrian	pnoun	Z1m
Adrianmeri	pnoun	Z2
ADSL	abbrev	Y2
adsl	abbrev	Y2
adsukipapu	noun	L3 F1
Adulta	pnoun	Z3
adventti	noun	S9/T1.3
adverbi	noun	Q3
adverbiaali	noun	Q3
adverbiaalikonjunktio	noun	Q3
adverbiaalilause	noun	Q3
adverbiaalimäärite	noun	Q3
adverbiaalinen 	adj	Q3
adverbiaalisesti 	adv	Q3
adverbiaalisuus 	noun	Q3
adverbilauseke	noun	Q3
adverbinen 	adj	Q3
adverbisesti 	adv	Q3
adverbisuus 	noun	Q3
aerobic	noun	K5.1
aerodynaaminen	adj	O4.4
aerodynaamisesti	adv	O4.4
aerodynamiikka	noun	M5/P1
aerodynamisuus	noun	O4.4
Aerosmith	pnoun	Z3/K2
aerosoli	noun	O1.3
afaatikko	noun	B2-/Q3/S2
afaattinen	adj	B2-/Q3
afasia	noun	B2-/Q3
affiksi	noun	Q3
afgaani	noun	Z2/S2 Z2/Q3 L2
afgaaninkielinen	adj	Z2/Q3
afgaaninvinttikoira	noun	L2
Afganistan	pnoun	Z2
afganistanilainen	adj	Z2
afganistanilainen	noun	Z2/S2
aforismi	noun	Q2.2/A5.2+
AFP	pnoun	Z3
afrikaans	noun	Z2/Q3
afrikaansinkielinen	adj	Z2/Q3
afrikannorsu	noun	L2
Afrikka	pnoun	Z2
afrikkalainen	adj	Z2
afrikkalainen	noun	Z2/S2
afrikkalais	CompPart	Z2
afro	noun	B4
afroamerikkalainen	adj	Z2
afroamerikkalainen	noun	Z2/S2
afrokaribialainen	adj	Z2
afrokaribialainen	noun	Z2/S2
afrokaribialais	CompPart	Z2
afta	noun	B2-
Aftenposten	pnoun	Z3/Q4.2
Aftonbladet	pnoun	Z3/Q4.2
AGA	pnoun	Z3
agaave	noun	L3
Agadir	pnoun	Z2
agama	noun	L2
agar	noun	L3
Agatha	pnoun	Z1f
agentiivisuus	noun	Q3
agentti	noun	I2.1/S2 G3/S2 Q3
agenttiadverbiaali	noun	Q3
agenttipartisiippi	noun	Q3
agenttiromaani	noun	Q4.1/G3
agentuuri	noun	I2.1
Agfa	pnoun	Z3
Agfa-Gevaert	pnoun	Z3
aggressiivinen	adj	E3-
aggressiivisesti	adv	E3-
aggressiivisuus	noun	E3-
aggressio	noun	E3-
agility	noun	K5.1/L2
Agnes	pnoun	Z1f
agorafobia	noun	B2-/X1
agorafobinen	adj	B2-/X1
Agra	pnoun	Z2
agrol	abbrev	P1/F4
agrol.	abbrev	P1/F4
agrologi	noun	F4/S2
agrom	abbrev	P1/F4
agrom.	abbrev	P1/F4
agronomi	noun	F4/S2
Aguascalientes	pnoun	Z2
Aguero	pnoun	Z1
aguti	noun	L2
ahaa	intj	Z4
ahaa-elämys	noun	X2.5+
Ahab	pnoun	Z1m
Ahava	pnoun	Z3 Z1
ahdas	adj	N3.2- A6.1-/E2- A12-
ahdasmielinen	adj	A1.7+/X2.1
ahdasmielisesti	adv	A1.7+/X2.1
ahdasmielisyys	noun	A1.7+/X2.1
ahdekaunokki	noun	L3
ahdinko	noun	A12-
ahdistaa	verb	E6- B2- E3-
ahdistavuus	noun	E6-
ahdisteleminen	noun	E3-
ahdistelija	noun	E3-/S2
ahdistella	verb	E3-
ahdistelu	noun	E3-
ahdistuneisuus	noun	E6-
ahdistuneisuushäiriö	noun	B2-/X1
ahdistunut	adj	E6-
ahdistus	noun	E6-
ahkera	adj	X5.2+
ahkerahko	adj	X5.2+
ahkeraliisa	noun	L3
ahkerasti	adv	X5.2+
ahkeroida	verb	A1.1.1/N5+
ahkeroija	noun	A1.1.1/N5+/S2
ahkeroiminen	noun	A1.1.1/N5+
ahkerointi	noun	A1.1.1/N5+
ahkeruus	noun	X5.2+
ahkio	noun	M3
AHL	pnoun	Z3/K5.1
Ahlainen	pnoun	Z2
Ahlholm	pnoun	Z1
Ahlsell	pnoun	Z3 Z1
Ahlstrom	pnoun	Z3
Ahlström	pnoun	Z1
ahma	noun	L2
Ahmadnagar	pnoun	Z2
ahmaiseminen	noun	F1/B1
ahmaista	verb	F1/B1
ahmaisu	noun	F1/B1
Ahmedabad	pnoun	Z2
ahmia	verb	F1/B1
ahmiminen	noun	F1/B1
ahmimishäiriö	noun	B2-/X1
ahminta	noun	F1/B1
ahnaasti	adv	S1.2.2+
ahnas	adj	S1.2.2+
ahnaus 	noun	S1.2.2+
ahne	adj	S1.2.2+
ahneesti	adv	S1.2.2+
ahneus	noun	S1.2.2+
aho	noun	W3
Aho	pnoun	Z1
Ahola	pnoun	Z1
Aholaita	pnoun	Z1 Z3
aholeinikki	noun	L3
ahomansikka	noun	L3 F1
