lemma	pos	semantic_tags
globální	A	W3 M7 A1.8+ O4.4
konec	N	M6 T2- O2 X7+ N4
zůstat	V	T2++ M8 N5.2+
proto	D	Z5/A2.2
případ	N	A4.1 O2 G2.1 B3 X4.1 Q3
dlouhý	A	N3.7+ T1.3+ N3.3+ N3.2+
kolem	R	Z5
mezinárodní	A	M7
tu	D	M6 T1.1.2 T1.2
málo	D	A13.6
matka	N	S4f A11.1+++
způsob	N	X4.2 M6 M3/H3 N3.3 A4.1 A1.1.1 T1.3
znát	V	X2.2+ S3.2/B1%
sedět	V	M8 C1 P1 G1.1 G2.1 M6 A9+
nechat	V	M1 M2 A1.1.1 A1.9 A9- T2-
rychle	D	N3.8+
snažit	V	X8+ X2.4 Q2.2 G2.1 A12-
daleko	D	A13.3 N3.3+ X9.2+
voda	N	O1.2 W3/M4 B1 C1%
peníze	N	I1
dlouho	D	T1.3+
hospodářský	A	I1.3- I2.1
pouze	D	A14
měsíc	N	T1.3
znamenat	V	Q1.1 X7+
jistý	A	A7+ Z4
stůl	N	H5 Q1.2 N2
asi	T	A13.4
cítit	V	X2.1 E1 X3
změna	N	A2.1+ I1 B1
cena	N	I1.3
jenom	T	A14
zatímco	J	Z5
často	D	N6+
tedy	J	Z5 A13.3
vést	V	S7.1+ A2.2 M2 A1.1.1
téměř	D	A13.4
možný	A	A7+
systém	N	X4.2 O3 M3 M4 Q1.3 Y2 B1 N2 G1.1c
noha	N	N3.7 N3.3
žít	V	H4 L1+ A3
což	P	Z5 Z8
ukázat	V	A10+ S1.1.1
špatný	A	A5.1- G2.2- O4.2- B2-
během	R	Z5
jméno	N	Q2.2
lidský	A	S2 S1.2.1+
pokoj	N	H2 N3.6
potom	D	N4 Z5 T1.2
cíl	N	K5.1 X7+
mnohem	D	A13.3 N6+
vždycky	D	N6+++
stejný	A	A6.1+++
dívat	V	A8 X3.4 X2.4 X7+ Z4
právo	N	S7.4+ G2.2+ M6 G1.2
pozdě	D	T4-- T1.1.3 N4
pohled	N	A8 X3.4 X2.4 O4.1
Německo	N	Z2
důležitý	A	A11.1+
čína	N	Z2
unie	N	Z3c
důvod	N	A2.2 X2.1
například	D	A4.1
silný	A	S1.2.5+ N5+ A5.1+ X5.2+ S7.1+ X9.1+ O4.1 S1.2.3+
věřit	V	X2.1 S9%
ekonomický	A	I1.3- I2.1
světový	A	W1 S5+c A4.1 N5+
velmi	D	A13.3
otevřít	V	A10+ T2+
černý	A	O4.3 G2.2- A5.1- E4.1- S5+
nakonec	D	N4
zájem	N	X5.2+ I1.1 S8+ S1.1.3+
spojený	A	Z3c
snad	D	A7
samozřejmě	D	M6 X7+ P1 B3 F1 M7/K5.1 T1.3
bílý	A	O4.3 G2.2+
část	N	N5.1- O2 M7 I3.1 S1.1.3+ K4
týden	N	T1.3
avšak	J	Z5
třeba	D	A7
pomoci	V	S8+
lze	V	A7+
okno	N	H2 T1.3
tělo	N	B1 O2 S5+c O4.1 S2mf
čtyři	C	N1 T3 T1.2
psát	V	Q1.2 I2.1
pár	C	N5-
rozhodnout	V	X6+
smrt	N	L1-
světlo	N	W2 O3/W2 M3 O4.6+ X4.1 E1
kniha	N	Q4.1 Q1.2 K5.1/I1
myšlenka	N	X4.1 X7+
veřejný	A	S5+ A10+
skutečnost	N	A5.2+ X2.2
rodina	N	S4c A4.1c
teorie	N	X4.1
trochu	D	N3.2- T3- N3.7- N3.3- T1.3- A11.1-
pocit	N	X2.1 E1 X3
pět	C	N1 T3 T1.2
moc	D	N5++
jasný	A	A7+ A10+ O4.3 O4.1 N5.1+ W4
přítel	N	S3.1/S2mf
někdy	D	N6
Rusko	N	Z2
taky	D	N5++
opravdu	D	A13.3 A5.2+
pokračovat	V	T2++
zastavit	V	T2- S8- M8 H4 A1.1.1@
zřejmě	D	A8
zpráva	N	Q2.2 X3.2
dost	D	N5+ N6+
zákon	N	G2.1 S6+ Y1
vztah	N	A2.2 S1.1.1 S4mf
zase	D	N6+ Z4
sociální	A	S1.1.1
krok	N	M1 T1.2 H5 O2 A2.1+ A1.1.1 K1@ K5.1@
chlapec	N	S2.2m L2m@
odejít	V	M1 M2 A1.1.1 A1.9 A9- T2-
pomoc	N	S8+
až	J	Z5
no	T	A5.1+ A13.3 A7+ B2+ Z4
nyní	D	T1.1.2 Z4
řada	N	N5+
konečně	D	N4
ovšem	J	Z5
národní	A	M7/N5.1+
okamžik	N	T1.2 T1.1.2
držet	V	M2 A1.1.1 A9+ X2.1 S7.1+/A1.7+
dojít	V	M1 N3.1 A2.2 A3+ X2.1 A9+ S4 N4 S3.2
neboť	J	Z5
tvrdit	V	Q2.1 Z4%
zjistit	V	A10+ X2.1 X6+
pracovat	V	I3.1 A1.1.1 X9.2+ A2.1+ A2.2
deset	C	N1 T3
pořád	D	T2++ Z4 E3+
hlavní	A	A11.1+ N5+++
minuta	N	T1.3
změnit	V	A2.1+ I1 B5
současný	A	T1.1.2
volba	N	G1.2/X7+
ležet	V	A5.2- M1 T2++ M6 A3+
ulice	N	M3/H3
prohlásit	V	Q2.1 Z4%
obrovský	A	N3.2+++
moc	N	S7.1+ O3 S1.2.5+ N2@
energie	N	X5.2+ Y1
demokracie	N	G1.2
společný	A	A6.2+ N5++ S5+ O4.2-
výsledek	N	A2.2 X9.2 N2 A5.1 K5 Q1.1/A2.2
známý	A	X2.2+ S3.2/B1%
postel	N	H5 H3/L3
deník	N	Q4.2 B4/S2mf
představovat	V	A3+ Z5
skutečný	A	A3+ A5.2+ A5.4+ A13.3
těžký	A	N3.5+ S1.2.5+ N5+ O4.1 E4.1- W4 A12- A1.1.1 N3.2+ A1.1.2@
objevit	V	A8 A10+ A3+ G2.1 K4 Q4
Francie	N	Z2 Z1mf
jazyk	N	Q3 Y2
situace	N	A3+ O4.1 M6 I3.1@
podobný	A	A6.1+
dokud	J	Z5
hodina	N	T1.3
důsledek	N	A2.2
dále	D	Z5
strach	N	E5-
obličej	N	B1 W3 O2 A8 S1.2.3+
skutečně	D	A13.3 A5.2+
skupina	N	S5+c A4.1c B3%
riziko	N	A15- A1.4
nízký	A	N3.7- N5- A5.1- A11.1- E4.1- X3.2- G2.2- S7.1-
zda	J	Z5
doufat	V	X2.6+ E4.1+ X9.2+ A5.1+
zvednout	V	M2 N5+/A2.1 A5.1+/A2.1 X3.2++ A9+ A1.1.1 A2.2 S1.1.1 F4 Q2.2 S4
otočit	V	M2 M1 O4.4 A1.1.1 A2.1+ O4.2-
možnost	N	A7+
pochopit	V	X2.5+
smysl	N	A4.1 Q3 X3 S1.2.6+ E1 X2.1 X9.1+ A8
různý	A	A6.1-
vlas	N	B1
uvidět	V	X3.4 X2.1 S1.1.1 X2.5+ X2.3+ X3 A7+ Z4 S3.2
chápat	V	X2.5+
škola	N	P1/H1c S5+c L2%c
členský	A	S5+/S2mf B1
reforma	N	A2.1+
proces	N	A1.1.1 X4.2
století	N	T1.3 K5.1%
připadat	V	A8
přesto	D	T1.1.2
plán	N	X7+ C1/H1
jenže	J	Z5
anebo	J	Z5
vojenský	A	G3
vedle	R	Z5
navíc	D	Z5
přístup	N	X4.2 M1 E1 S1.1.1
opět	D	N6+ Z4
hrát	V	K1 K5.1 K5.2 K2 K3 A1.1.1 K6
určitý	A	A4.2+ A7+
srdce	N	B1 M6 A11.1+ E1 X5.2+
oblast	N	M7 A4.1 N3.6
strom	N	L3 S4
jet	V	M1 A2.1+ A1.1.1 A9- A1.8+ Q2.1 N6+ I2.2 A1.1.2 T2- S3.2 A6.3+ B2-/X1% B1%
firma	N	I2.1/S5+c
názor	N	X4.1 X3.4 A4.1 X7+
kvůli	R	Z5/A2.2
podpora	N	S8+ O2 I1.1 B5%
zapomenout	V	X2.2-
hodnota	N	A11.1+ I1.3 G2.2 A4.1 N1
hodiny	N	T1.3
dluh	N	I1.2
řešení	N	X4.2 O1.2
přesně	D	A4.2+ A5.3+
ptát	V	Q2.2
auto	N	M3fn
francouzský	A	Z2
hledat	V	A8 X3.4 X2.4 X7+ Z4
bůh	N	S9m Z4
prostě	D	A14 T3--- T1.3- N3.3---
směr	N	M6 Q2.2 Q2.2 S7.1+ X4.2 K4
pomalu	D	N3.8-
instituce	N	S5+c S7.1+ H1c S1.1.1 T2+
rameno	N	B1 M3
příležitost	N	A1.4
mnohý	A	N5+
zdroj	N	T2+ Q1.1 X2.2 W3/M4
odpověď	N	Q2.2 X4.1 X9.2+
budoucnost	N	T1.1.3
Langdon	N	Z1mf
vzduch	N	O1.3 A8 W1 Q4.3 M1
uvědomit	V	X2.5+ X9.2+
rozdíl	N	A6.1-
naděje	N	X2.6+ E4.1+ X9.2+ A5.1+
zvláštní	A	A4.2+ A6.2-
skoro	D	A13.4
zejména	D	A14
bezpečný	A	A15-
jaderný	A	Y1 B1 S5+%
místnost	N	H2 N3.6
představit	V	X2.1 A5.2-
sledovat	V	X3.4 S7.1 X2.4 A1.3+
spát	V	B1 H4/N5
obrátit	V	M2 M1 O4.4 A1.1.1 A2.1+ O4.2-
schopnost	N	X9.1+
dopis	N	Q1.2 Q3
plný	A	N5.1+ I3.2+
sen	N	X4.1 X7+ A5.2-
zahraniční	A	M7
nikoli	T	Z6
jinak	D	A6.1-
napadnout	V	X2.1
trvat	V	A9+ T1.3 C1 A1.1.1 M2 S7.1- A2.1+ X2.4 S6+ S7.4+ N3 A2.1+ P1 M1 X2.5+ F1@ F2@ Q1.2@ B3@
rozhodnutí	N	X6+
program	N	Y2 X7+ Q4.3 Q1.2 P1
číst	V	Q3 Q1.2 X3.2+ X2.5+ P1 A10+
