lemma	pos	semantic_tags
A4	SYM	N3.2 Q1.2 M3/Z2
A40	SYM	M3/Z2
A5	SYM	Q1.2
A69	PROPN	M6
AA	PROPN	F2 M3 M5
AB	NOUN	P1
ABC1	X	S5+
ABCC	PROPN	Z3c
ABCO	NOUN	Z3c
ABH	NOUN	E3-
ABM	PROPN	G3
ABS	NOUN	O1.1
ABS	PROPN	Z3
ABTA	PROPN	Z3c
ABTGI	PROPN	Z3c
AC	PROPN	Z3c
AC/DC	NOUN	S3.2/S2mf
ACAS	PROPN	S5+c
ACC	NOUN	G2.1/S2mf
ACCA	PROPN	Z3c
ACDC	NOUN	O3 S3.2@
ACDC	PROPN	Z3c
ACG	PROPN	Z3c
ACHPR81	PROPN	Z3
ACHR69	PROPN	Z3
ACLU	NOUN	Z3/G1.2
ACNAC	PROPN	Z3c
ACP	PROPN	Z3
ACPO	PROPN	Z3c
ACSM	PROPN	Z3c
ACTT	PROPN	Z3c
AD	ADV	T1.1.1
ADHD	PROPN	B2-/X5.1-
ADSL	NOUN	Y2
ADT	PROPN	Z3c
AEB	PROPN	Z3c
AEE	PROPN	Z3c
AEI	PROPN	Z3c
AGB	PROPN	Z3c
AGM	NOUN	S1.1.3+c
AI	NOUN	B3 Y2
AIDS	NOUN	B2-
AIDS-related	ADJ	B2-
AIDS/HIV	X	B2-
AITO	PROPN	Z3c
AJ	PROPN	Z1mf
AK-47	NOUN	G3
AK-47s	NOUN	G3
AK-74	NOUN	G3
AK47	NOUN	G3
AMM	PROPN	Z3c
AMMB	PROPN	Z3c
ANC	NOUN	G1.2/S5
ANC	PROPN	Z3c
ANSI	PROPN	Z3/Q1.3
AO	PROPN	P1
AOB	NOUN	X4.1
AOL	PROPN	Z3c/Y2
AP	PROPN	Z3c
APB	NOUN	G2.1/Q1.1
APC	NOUN	P1
APEX	NOUN	M5/Q1.2 M3/Q1.2
API	PROPN	Z3/Q4.2
APM	NOUN	I1/K1
APMC97	PROPN	Z3
APR	NOUN	I1.2 I1.3
APT	NOUN	A11.1+
AQHA	PROPN	Z3c
ARI	PROPN	Z3c
ARS57	NOUN	G2.1/M4/S2.2
ARSP73	NOUN	G2.1/M4/S2.2
AS90	X	Z3
ASA	NOUN	Y1
ASA	PROPN	Z3c
ASAP	PROPN	Z3c
ASAs	NOUN	Y1
ASB	NOUN	S9/Q4.1
ASCII	NOUN	Y2
ASEAN	PROPN	Z3
ASEAN-5	PROPN	Z3c
ASLI	PROPN	Z3c
ASM	PROPN	K4/S2mf
ASOLO	PROPN	Z3c
ASPCA	NOUN	Z3/L2
