lemma	pos	semantic_tags
акушер	S	B3/I3.2/S2mf
акушерка	S	B3/I3.2/S2.1f
акушерство	S	B3
акцелерация	S	B3/N3.8+
акцент	S	Q3 K2 A11.1+/A4.2+
акцепт	S	I2.1 I1.1
акцептант	S	I1.1/S2mf
акциз	S	G1.1/I1
акцизный	A	G1.1/I1
акционер	S	I1.1/S2mf
акционерный	A	I1.1
акция	S	I1.1 A1.1.1 G3
албанский	A	Z2
алгебра	S	Y1/N2 P1
алгебраический	A	N2
алгоритм	S	N2 Y2 X4.2
алебастр	S	O1.1
аленький	A	O4.3
алиби	S	G2.1 S1.1.3-
ализарин	S	O1/O4.3
алименты	S	I1.1/G2.1
алкоголизм	S	F2+++/B2- F2+++
алкоголик	S	F2+++/B2-/S2m F2+++/S2m
алкоголический	A	F2
алкоголь	S	F2
алкогольный	A	F2
аллегория	S	Q3/X4.1
аллергия	S	B2-
аллергология	S	Y1/B3
аллея	S	M3
аллонж	S	Q1.2/I1
аллопуринол	S	B3
аллохол	S	B3
аллюзия	S	Q3
аллюр	S	M1/N3.8+/L2
алмаз	S	O1.1 O2 A6.2- A5.1+++ Z3c/K5.2
алмазный	A	O1.1 O2
алопеция	S	B2-
алтабаз	S	B5
алтайский	A	Z2
алтын	S	I1
алый	A	O4.3
альбедо	S	N3/Y1
альбедо	S	N3/Y1
альбинизм	S	B1
альбом	S	Q1.2/C1 Q4.1/C1 K3
альбуцид	S	B3
альмагель	S	B3
альманах	S	Q4.1 Q4.1/T1.3
альмукантарат	S	N3/Y1/W1
альпак	S	B5
альпака	S	L2mf B5
альпари	S	I1.3
альпинизм	S	K5.1
альпинист	S	K5.1/S2.2m
альпинистка	S	K5.1/S2.1f
альсекко	ADV	C1
альтернат	S	G1.1
альтернатива	S	X7+/A6.1-
альтернативный	A	X7+/A6.1-
альфа	S	Q3 L3
альфреско	ADV	C1
альянс	S	G1.1 G1.2 S5+
алюминиевый	A	Q1.1 O4.3
алюминий	S	O1.1
аляскинский	A	Z2
амазонка	S	Z2 S1.2.5+/S2.1f K5.1/S2.1f B5
амбар	S	H1/F4
амбициозный	A	S1.2.3+
амбиция	S	S1.2.3+
амбулатория	S	B3/H1
американец	S	Z2/S2mf
американка	S	Z2/S2.1f M3/K5.1
американский	A	Z2
амид	S	O1
амидопирин	S	B3
амилнитрит	S	B3
аминазин	S	B3
амитоз	S	B1
аммофос	S	O1/F4
амнистия	S	G2.1
амортизатор	S	O2/S8+/A1.1.2-
амортизационный	A	I1.3-/A1.1.2 S8+/A1.1.2-
амортизация	S	I1.3-/A1.1.2 S8+/A1.1.2-
амортизировать	V	S8+/A1.1.2-
ампелотерапия	S	B3/L3
ампер	S	N3/O3
амфора	S	O2
ан	PART	Z5
анализ	S	X2.4 Y1 B3
анализатор	S	B1 O2
анализировать	V	X2.4 Y1
аналитик	S	X2.4/S2mf
аналитический	A	X2.4
аналог	S	A6.1+ Y2
аналогичный	A	A6.1+
аналоговый	A	Y2
анальгин	S	B3
анальфен	S	B3
анамнез	S	B3/X2.2+
ананас	S	L3/F1
ананасовый	A	F2/L3 F1/L3 L3
анатом	S	B3/I3.2/S2mf
анатомия	S	Y1/B1 P1 B1 O4.1
ангел	S	S9m O4.2+/S2mf
ангина	S	B2-
ангинин	S	B3
ангиома	S	B2-
ангиотензин	S	B1
английский	A	Z2
англичанин	S	Z2/S2mf
англичанка	S	Z2/S2.1f
ангстрем	S	N3.7
андаманский	A	Z2
андеррайтинг	S	I1/S2mf
андроген	S	B1
андролог	S	B3/I3.2/S2mf
андростерон	S	B1
аневризма	S	B2-
анекдот	S	Q2.1/E4.1+
анемия	S	B2-
анестезиолог	S	B3/I3.2/S2mf
анестезиология	S	Y1/B3
анестезия	S	B3
анимализм	S	C1/L2
анималист	S	C1/S2mf
анис	S	L3/F1
анкета	S	Q1.2 X2.2+/S2mf
анклав	S	M7/G1.1
аннексия	S	A9+/G3 G1.1/S7.1+
аннулирование	S	T2-/G2.1
аннулировать	V	T2-/G2.1
анонс	S	Q2.2
анонсировать	V	Q2.2
анорак	S	B5
ансамбль	S	K2/S5+ K4/S5+ C1/H1 N5.1+ B5
антабус	S	B3
антарктический	A	Z2
антастман	S	B3
антенна	S	Q1.3 B1/L2
антибиотик	S	B3
антидепрессант	S	B3
антиквар	S	I2.2/C1/S2mf
антиквариат	S	O2/T3+++
антилогарифм	S	N1/N2
антильский	A	Z2
антимир	S	W1
антимонопольный	A	S7.1/I2.2
антиперспирант	S	B4
антипирин	S	B3
антисептик	S	B3
антитеррористический	A	G2.1
антициклон	S	W4
антоновка	S	L3/F1
антрекот	S	F1
антрепренер	S	K4/S7.1+/S2mf
