mwe_template	semantic_tags
Llys_* yr_* Esgob_* Tyddewi_*	Z2
Maen_* Hir_* Tregwehelydd_*	Z2
Maen_* Hir_* Ty_* Mawr_*	Z2
Maen_* Hir_* Tŷ_* Mawr_*	Z2
Meini_* Hirion_* Penrhos_* Feilw_*	Z2
Mur_* Porthladd_* Cas-gwent_*	Z2
Muriau_* Tref_* Caernarfon_*	Z2
Muriau_* Tref_* Conwy_*	Z2
Muriau_* Tref_* Dinbych_*	Z2
Mwynglawdd_* Plwm_* Bryntail_*	Z2
Mynydd_* Pen-y-Fâl_*	Z2
Neuadd_* Bodysgallen_*	Z2
Neuadd_* Ganoloesol_* Hafoty_*	Z2
Pen-y-Fâl_* a_* Dyffryn_* Wysg_*	Z2
Pen-y-bont_* ar_* Ogwr_*	Z2
Pennard, Pwll_* Du_* a_* Dyffryn_* Llandeilo_* Ferwallt_*	Z2
Penrhyn_* Llŷn_*	Z2
Plas_* Mawr_*	Z2
Plas_* Newydd_*	Z2
Plas_* yn_* Rhiw_*	Z2
Pont_* Grog_* Conwy_*	Z2
Pont_* Minllyn_*	Z2
Porth_* Ceiriad_*	Z2
Porth_* Meudwy_*	Z2
Porth_* Oer_*	Z2
Porth_* y_* Swnt_*	Z2
Porthdy_* Nedd_*	Z2
Priordy_* Ewenni_*	Z2
Priordy_* Hwlffordd_*	Z2
Priordy_* Llanddewi_* Nant_* Hodni_*	Z2
Priordy_* Penmon_*	Z2
Priordy_* a_* Chroes_* Penmon_* a_* Ffynnon_* Seiriol_*	Z2
Pwll_* Du_*	Z2
Pwll_* Mawr_*	Z2
Rhosili_* ac_* Arfordir_* De_* Gŵyr_*	Z2
Safle_* Ffosedig_* Hen_* Gwrt_*	Z2
Sain_* Ffagan_*	Z2
Sain_* Ffagan_* Amgueddfa_* Werin_* Cymru_*	Z2
Siambr_* Gladdu_* Barclodiad_* y_* Gawres_*	Z2
Siambr_* Gladdu_* Bodowyr_*	Z2
Siambr_* Gladdu_* Bryn_* Celli_* Ddu_*	Z2
Siambr_* Gladdu_* Capel_* Garmon_*	Z2
Siambr_* Gladdu_* Carreg_* Coetan_* Arthur_*	Z2
Siambr_* Gladdu_* Din_* Dryfol_*	Z2
Siambr_* Gladdu_* Dyffryn_* Ardudwy_*	Z2
Siambr_* Gladdu_* Llugwy_*	Z2
Siambr_* Gladdu_* Llwyneliddon_*	Z2
Siambr_* Gladdu_* Parc_* le_* Breos_*	Z2
Siambr_* Gladdu_* Pentre_* Ifan_*	Z2
Siambr_* Gladdu_* Prysaeddfed_*	Z2
Siambr_* Gladdu_* Tinkinswood_*	Z2
Siambr_* Gladdu_* Trefignath_*	Z2
Siambr_* Gladdu_* Ty_* Newydd_*	Z2
Siambr_* Gladdu_* Tŷ_* Newydd_*	Z2
Sir_* Gaerfyrddin_*	Z2
Sir_* Gâr_*	Z2
Sir_noun Drefaldwyn_pnoun	Z2
Stad_* Dolmelynllyn_*	Z2
Stad_* Southwood_*	Z2
Traeth_* Llanbedrog_*	Z2
Traeth_* a_* Chors_* Marloes_*	Z2
Tref_* Rufeinig_* Caer-went_*	Z2
Ty'r_* Brodyr_*	Z2
Ty_* Canoloesol_* Penarth_* Fawr_*	Z2
Tyddewi_*	Z2
Tŵr_* Paxton_*	Z2
Tŷ'r_* Brodyr_*	Z2
Tŷ'r_* Masnachwr_* Tuduraidd_*	Z2
Tŷ_* Aberconwy_* _*	Z2
Tŷ_* Canoloesol_* Penarth_* Fawr_*	Z2
Tŷ_* Mawr_* Wybrnant_*	Z2
Tŷ_* Newton_*	Z2
Tŷ_* Tredegar_*	Z2
Tŷ_* a_* Gardd_* Plas_* Newydd_*	Z2
Y_* Bannau_*	Z2
Y_* Castell_* Gwyn_*	Z2
Y_* Castell_* Newydd_*	Z2
Y_* Cymin_*	Z2
Y_* Ganolfan_* Casgliadau_* Cenedlaethol_*	Z2
Y_* Stagbwll_*	Z2
Y_* Waun_*	Z2
Ystad_* Dolmelynllyn_*	Z2
Ystrad_* Fflur_*	Z2
cynllun*_noun {noun} bws_noun am_prep ddim_noun	M3/Q1.2
cynllun*_noun {noun} bws_noun am_prep dim_noun	M3/Q1.2
cynllun*_noun {noun} bws_noun {adj/conj} am_prep dim_noun	M3/Q1.2
gofyn_verb {noun/verb} i_prep	Q2.1
parhad_noun busnes_noun	I2.1/T2+
pwyllgor*_noun addysg_noun	P1/G1.1 G1.2
pwyllgor_noun addysg_noun	P1/G1.1 G1.2
rhoi_verb 'r_art ffidil_noun yn_prep y_art to_noun	A9-
rhoi_verb y_art ffidil_noun yn_prep y_art to_noun	A9-
tagiwr_* semantig_*	Y2
talu_verb sylw_noun i_prep	X5.1+
