mwe_template	semantic_tags
修正_verb 主义者_noun	G1.2/S2mf
修理_noun 状态_noun	A5.1+/A2.1 S8+/A1.1.2- M1
修理_noun 部分_noun	A5.1+/A2.1 S8+/A1.1.2- B2+/A2.1
修理_verb 工人_noun	A5.1+/S2mf
修补_verb 工作_noun	A5.1+/A2.1 S8+/A1.1.2- B2+/A2.1
修辞_noun 学_verb 书_noun	Q2.1 Q2.2 Q3
修辞_noun 学的_noun	A11.2+
修道_noun 会_verb 规则_noun	G2.1+
修道_noun 会长_noun	G3/S7.1+/S2mf B3/H1 N5+ A4.2-
修道_noun 女_noun	S3.2 A2.1- S3.2/S2mf S9/S2.1f
修道_noun 院士_noun	S9/S2.2m
修道_noun 院的_verb	S9
修道_noun 院长_noun	S9/S7.1+/S2.2m
修道院_noun 副院长_noun	N4/T1.1.1 A11.1+ S9/S2.2m
修道院_noun 的_part 院长_noun	A5.1++ S7.1++ S7.1++/S2mf A5.1++/S2mf
修面_verb 的_part 人_noun	B4
倏地_noun 飞_verb	M1/N3.8+ A2.1+
倒栽_adv 冲地_verb	M6
倒楣_verb 的_part 日子_noun	X9.2-
倒竖_verb 起来_verb	X3.4
倒踏脚_pnoun 踏板_noun	A2.1+
候补_adj 选手_noun	A7+
候选_noun 资格_noun	G1.2
候选人_noun 的_part 地位_noun	G1.2
候选人_noun 资格_noun	G1.2
倚靠_verb 自己_pron	S5-
借_prep 自上_verb 一位数_num	A9+
借用_verb 证_noun	I2.2
值_verb 金额_noun 的_part 分量_noun	I1.3 A1.5.2+ S1.1.4+ S1.1.4+ N5
值勤_noun 时间_noun	M1 G3@
值夜_verb 失眠症_noun	A1.3+ E6- X5.1+
值得_verb 一_adv 看_verb	K4 O4.2+
值得_verb 一_adv 读_verb	X5.2+ Q1.2
值得_verb 争取_verb 的_part 人_noun	A9+ A1.7+ G2.1 A10+ T2- A1.1.1 X3 T4 M3 O2 A12- T1.2
值得_verb 佩服_verb	S1.1.4+
值得_verb 受_verb	W2- O4.3 E4.1- X2.2- O4.2-
值得_verb 受_verb 报偿_noun	W2- O4.3 E4.1- X2.2- O4.2-
值得_verb 嘲弄_noun	E2-
值得_verb 嘲笑_noun	E2-
值得_verb 尊敬_noun	S7.2+ T3+
值得_verb 崇拜_noun	O4.2+
值得_verb 怀疑_noun	A5.1- G2.1- A7- G2.1-/S2mf X2.1/A5.1- A7
值得_verb 注意_noun	A11.1+ A6.2- W2- O4.3 E4.1- X2.2- O4.2- X3.4+ A11.2+
值得_verb 注目_noun	A11.2+ A11.1+ X3.4+
值得_verb 看_verb 的_part 东西_noun	X3.4 O2/X3.4 K4
值得_verb 称赞_noun	S1.1.4+ S7.2+
值得_verb 考虑_noun	N5+
值得_verb 记录_noun 的_part 大事_noun	T1.1.1 P1/T1.1.1 Q2.1 B2
值得_verb 赞美_verb	S7.2+
值得_verb 赞赏_noun	S1.1.4+ S9 A7-
值班_noun 时间_noun	Q3 T1.3 S9
值班_verb 人_noun	T1/O2 M4 X3.4 S7.1 X2.4 A1.3+
值班_verb 名册_noun	Q1.2/N4
值的_adv 记忆_noun	X2.2+ A11.2+
倾刻_noun 间的_noun	T1.2
倾向_verb 一_num 方_noun	O4.4
倾注_verb 全力_noun	N3.6 M1 N3.7+/A2.1 A4.2-/A2.1 T1.3 A12- A2.1+ X8+ G2.1 K5.1@
倾盆_noun 大雨_noun	N5.2+/O1.2 W4 N5+++
倾盆_noun 而_adv 降_verb	A10- S5- G1.1- G3/S2mf B1
假_adj 东西_noun	A5.4- A5.4-/A1.1.1 G2.1- G2.2-
假_adj 事_noun	A5.2-
假_adj 慈悲_noun 的_part 人_noun	L2mfn S5+c
假_adj 牙床_noun	A1.1.1 F1 O2 C1 B3
假_adj 胡子_noun	O1.1
假_adj 腿_noun	B1 O2 N3.3 M1/N3.8+
假_adj 认真_adj 工作_noun	A1.1.1 G3 G3/S2mf
假使_conj 的话_part	X2.1 X7+
假定_verb 上_noun	X2.1
假的_noun 牙床_noun	H1 W3 A2.2/S3.1 H2/M4 B1 B3 O2 K5.2 M1
假缝_noun 用线_verb 涂油_noun	F1 A1.1.1
假缝_verb 的_part 针脚_noun	F1 A1.1.1
假装_verb 学者_noun	A4.2/N5.2+
假装_verb 服_verb	A10-
假装_verb 没_adv 看见_verb	G3
假装_verb 的_part 人_noun	A5.4-
假装_verb 神圣_verb	S9
假装_verb 虔诚_verb	S9
假装_verb 诚实_verb	S9
偏_adv 辟_verb 处_noun	T1.1.1 A2.2 M6 S1.1.1 P1 A11.1- A1.8-
偏僻_verb 的_part 土地_noun	A10- A12-
偏僻_verb 的_part 地方_noun	M7
偏僻_verb 的_part 场所_noun	I3.1-
偏心_adj 轮_noun	A6.2-
偏执狂_noun 样_noun	B2-/X1 E6-
偏激_adj 论者_noun	B1 O2 M7 S5+c A11.1- O4.1
做_verb ,_punc 犯_verb	A1.1.1
做_verb ._punc ._punc ._punc	N5+ N6+ Z8mfn
做_verb 不_adv 到_verb	A7- A12-
做_verb 专门_adv 研究_verb	A4.2+
做_verb 佃户_noun	F4 F4/M7
做_verb 低级_adj 滑稽_adj 表演_noun 的_part 人_noun	X9.1++/S2mf S1.2.5-/S2mf S1.2.6-/S2mf
做_verb 体操_noun	K5.1 A1.5.1 P1 A1.1.1 G3@
做_verb 例证_noun	A10+
做_verb 例证_noun 者_noun	C1/S2mf
做_verb 傻事_noun	A10- F1
做_verb 先锋_noun	S7.1+ T2+ T2+/S2mf
做_verb 凸出_adj 花纹_noun 的_part 人_noun	B3
做_verb 卷_noun	A9+ B5 G2.1@
做_verb 呼噜声_noun	B1 O2 W3 W4 X3.2
做_verb 地板_noun 用的_verb 木料_noun	O2
做_verb 壁饰_noun	M1 E3-
做_verb 夜盗_noun	G2.1-
做_verb 奶妈_noun 授乳_noun	B4/S4/S2.1f
做_verb 姿势_noun 传达_verb	M1 A1.1.1
做_verb 姿势_noun 表达_noun	M1 A1.1.1
做_verb 学徒_noun	P1/I3.1
做_verb 家务_noun	S7.1- S7.1-/S2mf
做_verb 工程师_noun	S7.1+ A1.1.1 Y1/I3.2/S2mf
做_verb 店员_noun	B3/P1 I2.1/S2mf G1.1/S2mf
做_verb 式样_noun	O4.3 X4.2 O4.1 B5/Q1.2
做_verb 徒弟_noun	P1/I3.1
做_verb 投机_noun 生意_noun	X2.6+ I2.1
做_verb 护根_noun	F4
做_verb 教会_noun 教员_noun	S9/H1c S9c
做_verb 旧货_noun 买卖_noun	T3+ N4
做_verb 朋友_noun	S3.1/S2mf
做_verb 架_noun	O3 S8+
做_verb 标记_noun	I1 O4.2- Q1.2 A5/P1 N3.1 Q1.1
做_verb 步枪_noun 射击_noun	A1.1.1 G3
做_verb 民意_noun 测验_noun	G1.2 Q1.1
做_verb 沙拉_noun 用之_verb 生_verb 蔬菜_noun	F1
做_verb 海盗_noun	X9.2+/G2.2-/S2mf G2.1-/S2mf
做_verb 特技_noun 驾驶_noun	A15-/A1.1.1 O2 S8-
做_verb 生意_noun	I2.2 I2.1 I3.1 I2.2/N5
做_verb 的_part 奶妈_noun	B4/S4/S2.1f
做_verb 的_part 首领_noun	G3/S7.1+/S2mf M4/S7.1+/S2mf M5/S7.1+/S2mf K5/S7.1+/S2mf S7.1+
做_verb 研究_noun	P1 X2.4 H2 Q1.2 C1
做_verb 礼拜_noun	S9 S7.2+ E2++ S9/H1c
做_verb 私人_adj 教师_noun	P1 P1/S2mf
做_verb 算术_noun	A10-/Q1.2 N2 X3.2/N6+ A11.1- S7.1-/S2mf
做_verb 糖果_noun 的_part 奶油_adj 质_noun 面团_noun	F1
做_verb 结论_noun	X9.2+
做_verb 老师_noun	P1
做_verb 膛线_noun	A1.1.1 G3
做_verb 舵手_noun	K5.1/S2mf M4/S2mf
做_verb 芦饰_noun	L3 O2
做_verb 苦工_noun 的_part 人_noun	E2-
做_verb 衣服_noun	B5 A1.2+/A2.1 B5/S2mf
做_verb 走私口者_noun	G2.1-/S2mf
做_verb 针线_noun 工_noun	B5/S2.1f
做_verb 铁匠_noun	A5.4- C1/M7
做_verb 零工_noun	I3.1 A1.1.1 A12-
做_verb 饰结_noun	A1.1.1 O2 X2.5- N3.8
做为_prep 一_num 个_msr 人_noun	S5-
做为_prep 乾杯_noun 对象_noun 之事_noun	F1 S1.1.1
做为_prep 前提_noun 叙述_verb	X4.1
做为_prep 单位_noun	S5+c O2 H5 H1 N3.1 P1 N1
做为_prep 的_part 屋顶_noun	H2 B1 M3
做为_verb 常食_noun	F1 A9- S8+ M2@
做为_verb 选择_noun	A6.1-
做事_verb 光明_adj 磊落_noun 的_part 人_noun	K5.1/S2.2m
做出_verb 装饰用_noun 衣褶_noun	B5
做得_verb 成_verb	A7+
做得_verb 过分_verb	N5.2+
做戏_verb 似的_adv	K4 E1/N5.2+
做成_verb 倾斜_verb	H2 L2/H1@ L2/H4
做成_verb 木乃伊_noun	O4.1
做成_verb 糖渍_noun	F1 S8+ A9+/A2.1-
做成_verb 罐头_noun 食品_noun	A1.1.1 O1.1 O2
做梦_verb 的_part 人_noun	X5.1-/S2mf X7+/A5.2-/S2mf
做法_noun 人_noun	S5+
做饼_verb 时_loc 用以_verb 放_verb 各_det 种_msr 材料_noun 里_loc 使_verb 其_pron 做_verb 出来_verb 后_loc 可_verb 变脆_verb 的_part 材料_noun	N3.7-/A2.1 N5-/A2.1 A2.1/T1.3 N3.3-/A2.1 F1
停于_verb 现状_noun	O4.6- M8 T2- E5-
停止_verb 使用_verb	A1.5.1-
停止_verb 呼息_noun	B2-
停止_verb 支付_verb	T2- I3.1- O2 O1.2 T4- M2 M1
停止_verb 支付_verb 的_part 通知_noun	A1.3+
停留_verb 在_prep 一地方_pnoun	N3.3-
停留_verb 过久_adv	M8/T2++
停蹄_verb 不_adv 前_adj	S8-
停靠_verb 港口_noun	X3.3 M6 Q2.2 E1 E2- X4.2 N5-
健壮_verb 结实_verb	O4.4
健康_noun 状态_noun	S7.1+/Q2.2 I2.2/Q2.2 A4.1 N4 G2.1+ G2.1 Q1.2/I1.1 O4.2+
偶_pron 得的_verb	B2- A1.1.1 A1.1.2 T2+
偶像_noun 崇拜_verb	S9
偶像_noun 破坏_verb	A6.2-/Q2.2
偶发_adj 事件_noun	A1.1.2 A1.4
偶发_adj 事故_noun	A1.1.2 A1.4
偶发_adj 事物_noun	A1.4 K2
偶尔_adv 发生_verb	N6-
偶然_adv 发现_verb	I1.1+++ A1.4 X9.2 T1.1.3/S9
偶然_adv 发生_verb	A1.4 A7+
偶然_adv 听到_verb	X3.2
偶然_adv 看见_verb	A10+ X2.1 X6+
偶然_verb 地_part 发生_verb	A2.1+ A3+ X7-
偶然_verb 的_part 事情_noun	S5+
偶而_adv 提到_verb	X3.4 O4.3%
偷_verb 入境_noun	G2.1- M2/A10-
偷_verb 布_pnoun	F1
偷_verb 捉_verb 家畜_noun	X3.2 G2.1-/F4 M1
偷偷_adv 吐露_verb 的话_part	E6+ A10-
偷偷_adv 地_part 逃走_verb	G2.2-/S2mf M1/A10- A9+/A10- M2
偷偷_adv 地走_verb	M1/A10-
偷偷_adv 搭船_verb 潜逃_verb	G2.1- M2/A10-
偷偷_adv 携带_verb 出去_verb	G2.1- M2/A10-
偷偷_adv 摸摸_verb	A10- G2.1- A5.2-
偷偷_adv 放_verb 进去_verb	G2.2-/S2mf M1/A10- A9+/A10- M2
偷偷_adv 混入_verb	M2/X7-
偷偷_adv 溜掉_verb	M1 K6 O2/C1 W3 O2/Y1 I1.1-/A2.1 Y2 A5.1-/A2.1 K2 M2 K5.2
偷偷_adv 的_part 搬家_verb	M1/N3.8+ A2.1+
偷偷_adv 的_part 笑_verb	E4.1+
偷偷_adv 逃_verb 走的_noun	A10- G2.2-
偷听_verb 电讯_noun	F2 O1.2 F4 A9+
偷懒者_noun 海军_noun 士兵_noun	A1.1.1 G3 G3/S2mf
偿付_verb 能力_noun	I1.1+
偿清_verb 了_part	M8 X9.2+ I1.2 H4 E4.2+ X6+
偿还_verb 款项_noun	I1.1+/A9-
傍晚_noun ,_punc 黄昏_noun	T1.3
储存_verb 保留_verb	I1.1 B3 A9+ S8+ A1.9 K5.1 S9 Z5
储存_verb 极_adv 多的_verb	A9+
储藏_verb 的_part 食物_noun	H2/F1 F1
储藏_verb 的_part 饲料_noun	O1.2
储藏_verb 金钱_noun	A9+/N5+ N5+
催眠_noun 性的_noun	F3
催眠_noun 状态_noun	X2
催眠_noun 状态_noun 的_part 人_noun	X2
催眠术_adj 疗法_noun	B3
催眠术_noun 者_noun 的_part 暗示_noun	Q2.2 Q1.1
傲慢_adj 的_part 保守派_noun 军人_noun	G3/S7.1+/S2mf
傲慢_adj 的_part 家伙_noun	S1.2.4-/S2mf A11.1--/S2mf
傲慢_adj 的_part 态度_noun	S1.2.4-
傲慢_verb 自大_verb 的_part 年轻人_noun	L2mfn
傲慢_verb 自大_verb 的_part 青年_noun	L2mfn
傲慢_verb 自负之人_verb	T3-/S2mf I1.1+/T3---/S2mf S1.2.3+/S2mf
像_adv ._punc ._punc ._punc	A7+ A1.2+
像_adv 会_verb 令_verb 人_noun 吃惊_verb	X2.6- A6.2-
像_adv 喜欢_verb	A6.1+ E2+ Z4 Z5
像_adv 有_verb 什么_det 用意_noun 似的_adv	X2.2+ S3.2/B1%
像_adv 有_verb 病的_noun	B2- O4.2-
像_adv 灰尘的_noun	O4.1 O4.2- O4.3 X5.2-
像_adv 男的_noun	S2.2
像_adv 脓的_verb	L2mfn B1
像_adv 骑士地_noun	A1.3- G3/S2.2m T1.1.1/S2.2m
像_prep 一样_verb 的_part 事物_noun	A8
像_prep 事实_noun	A7+
像_prep 吉普赛_noun 的_part 人_noun	Z2/S2mf
像_prep 君王_noun	N3.2+ G2.2+ O4.2+
像_prep 唧筒_noun 般_verb 活动_noun	M2 A1.1.1 A9- Q2.2 S8+ B3 O2 B5

像_prep 塔_pnoun 一_num 样_msr 高_verb 的_part 东西_noun	H1 N3.7+
像_prep 墙壁_noun 的_part 东西_noun	H2 O2 N5+ S8-
像_prep 大_adj 教堂_noun	S9/H1
像_prep 女人_noun	S2.1
像_prep 奶油_adj 的_part 东西_noun	F1
像_prep 少年_noun	T3-/S2.2
像_prep 岩石_noun	W3/L3 O4.1 A12- E1- B2-
像_prep 布丁_noun 似的_adv 柔润_verb 物_noun	F1
像_prep 戏剧_noun	K4 E1/N5.2+
像_prep 拖把_noun 的_part 东西_noun	B4 N5
像_prep 桨_noun 一般_verb 地_part 摆动_verb	M4/O2
像_prep 梦_noun 中_loc 的_part 美人_noun	X4.1 X3.4 X7+ S9@
像_prep 死人_noun 一般_verb	L1- X9.2+ O4.2-
像_prep 泥沼_noun 的_part 地方_noun	W3 O4.2-
像_prep 狼_noun	L2
像_prep 猪般_noun 的_part 人_noun	A9+/T1.3+ L2mfn
像_prep 王子_noun	N3.2+ G2.2+ O4.2+
像_prep 珠宝_noun	N3.2- O4.1
像_prep 男人_noun	S2.2
像_prep 眼镜_noun 的_part 东西_noun	X3.4 O2/X3.4 K4
像_prep 脱缰_noun 之_part 马_noun	A1.7- H4-/S2mf
像_prep 草_noun	L3
像_prep 虫_noun 一般_verb 地_part 爬_verb	L2 B3 L2mfn A5.1-/S2mf
像_prep 贤者_noun	S1.2.6+ X9.1+
像_prep 雪_noun 的_part 东西_noun	W4 Q4.3%
像_prep 鬼_noun 一_num 样_msr 残忍_verb 的_part 人_noun	E3-/S2mf X5.2+/S2mf
像是_adv 的_part 东西_noun	A10-/Q4.1 S9mfn G2.1-/S2mf Q4.3
像是_adv 真的_verb	A8
像杉_verb 的_part 各_det 种_msr 树_noun 或_conj 其_pron 木材_noun	L3
像狗_noun 后腿_noun 一样_verb	O4.4
像虹_verb 的_part 东西_noun	W2/W4 O4.3
像要_adv 下雨_verb	O1.2 O1.2/N5.2+ S1.2.5- B1 W4
像鸟_noun 般_verb 飞得_verb 快的_noun	O4.1
僧侣_noun 似的_adv	S9
僧尼_pnoun 的_part 服装_noun	S1.1.1 A6.2+ B5@
僵持_noun 状态_noun	S1.1.2-
儒家_noun 思想_noun	X2.1
儿科_noun 医师_noun	B3/S2mf
儿童_noun 用_verb 室内衣_noun	B5
允许_verb 让给_verb	S6+ A7+ X9.1+
元_pnoun 文件_noun 描述符_noun	B3/P1 S7.1+/S2mf B3/S2mf
元_pnoun 金币_noun	L2mfn
元老院_pnoun 议员_noun	G1.2/S2mf
兄_noun 或_conj 弟_noun	S4m S2.2m S9/S2.2m
兄弟_noun 关系_noun	S5+c
兄弟_noun 的_part 关系_noun	S5+c
兄弟_noun 邦_noun 的_part 国民_noun	S4mf
充了_adv 气的_verb	N3.4+ N3.2+/A2.1+ I1.3+/A2.1
充公_verb 的_part 遗产_noun	A1.7- M1 G2.2- A2.1+
充分_adv 发展_verb	N5.1+
充分_verb 的_part 数量_noun	N5.1+
充填_verb 采空区_noun	E3- Q2.2
充实_verb 军备_noun	O4.1
充满_verb 人_noun 性地_noun	S2
充满_verb 力气_noun	O1.1 O4.5 A5.1+ A5.3+ T2++
充满_verb 喜悦_noun	O4.2+
充满_verb 忧郁的_noun	N5+ E6-
充满_verb 思想_noun	S1.2.2- X2.1
充满_verb 恶意地_noun	E3-
充满_verb 敬畏_verb	E5-
充满_verb 活力_noun	X5.2+ O4.3
充满_verb 爱情_noun	E2+
充满_verb 物质_noun 的_part 空间_noun	S1.1.3+++
充满_verb 荣光_noun	O4.2+ E4.1+
充满_verb 著_part	N3.2+ N5+ A11.1+ S1.2.5+ X5.2+
充绅士_pnoun 气派_noun	S1.2.3+
充裕_verb 地_part	N5-/A2.1 O4.6-/A2.1
兆兆_noun 字节_noun	B2-
先_adv 人_noun 一_num 著_part	X2.1 X2.6+
先_adv 发生_verb	N4
先_adv 史学_noun	T1.1.1
先不妨_adv 就_adv 这么_adv 说_verb	Q2.1 Z4% S7.1+
先令_noun 银币_noun	I1
先入_noun 成见_noun	X5.1++
先入_noun 观念_noun	A2.2/X2.1 S8- A6.1-/E2- G2.2- S5+
先决_adj 条件_noun	S6+
先前_adv 地_part	N4
先行_adv 距离_verb	G2.1 S6+ Y1
光_adv 之_pron 丧失_verb	A10- N5.2+ W1
光_adv 名_noun 正_adv 大地_noun	G2.2+
光_adv 点_noun	O4.2+ O4.3
光亮_verb 强过_verb	A5.1++ O4.2++
光头_noun 青年_noun	E3-/S2mf
光学_noun 仪器_noun 制造厂_noun	B3/S2mf
光学_noun 仪器商_noun	B3/S2mf
光束_noun 梁_pnoun	E4.1+ W2 Q4.3 Y1 H2 O2/K5.1
光滑_verb 而_conj 发亮_verb	F1
光电子_noun 扫描_noun 装置_noun	O3/B3 O3/Y2 O3/X2.4
光等_adj 的_part 骤发_noun	E3-/A2.1 N3.2+/A2.1 B2
光线_noun 的_part 明暗_noun	W2 O3/W2 O4.6+
光辉_verb 灿烂_verb	A5.1++
免_verb ._punc ._punc ._punc	S6- A1.7- A1.5.1- I1.3-
免费_adj 入场券_noun	H5 Q4.2c O1.1 Q1.2 P1/Q1.2
免费_adv 搭乘_verb	K1
免费_adv 搭车_verb	K1
免费_adv 样品_noun	I1.3---
免除_verb 兵役_noun 审查_noun 局_noun	G2.1
兑换_verb 手续费_noun	A9/S1.1.2+ A2.1+ Q2.1/E3- G3 M1/S1.1.2+ I2.2/H1 Q1.3/H1
兑换_verb 现款_noun	I1
兑换_verb 现金_noun	A2.1+ O4.6+
兔子_noun 的_part 皮毛_noun	L2mfn F1 Q2.1
党_noun 中_loc 之_part 派系_noun	S5+c
党派_noun 主义_noun	S5+c
党派_noun 观念_noun 强_verb 的_part 人_noun	S5+ S8+/S2mf
党派心_noun 强的_verb	S9/A6.1-
入_verb 军籍_noun	S5+ A1.1.1
入_verb 庙_noun 祀奉_verb	A1.8+
入_verb 船坞_noun	M4 A9- M4/M7 G2.1/H5 L3
入场_verb 许可_verb	A1.8+ S7.4+/M1 P1
入学_noun 准备_verb 教育_noun	A1.2+ B2+ B2- N3.2/A5.1+ E6- N3.2 M2
入店_verb 行窃_verb	G2.1-
入神_verb 的_part 境地_noun	E4.1++
入网_verb 得分_noun	O2 K5.1
全_adv 市民_noun	M7/G1.1 M7c M7/I2.1c
全_det 人类_noun 在_prep 最后_adj 审判日_noun 的_part 复活_noun	S9
全_det 党派_noun	G1.2
全_det 发行部_noun 数_noun	Q4
全_det 国_noun	M7/N5.1+
全_det 国_noun 性的_noun	M7/N5.1+ M7/S2mf
全_det 国_noun 流行的_noun	B2-
全_det 场_noun 一致_verb	A6.1+
全_det 基督教_noun	S9 A6.2+ S9/S2mf
全_det 套_msr 披甲_noun	N5+
全_det 套_msr 携带式_adj 炊事_noun 用具_noun	F1/H2
全_det 无_verb	N5.1-
全_det 知_noun	S9
全_det 等_msr	A6.1+
全_det 绿的_noun	N5.1+
全体_adj 人员_noun	M4 M4/S5+c M5/S5+c K4/S5+c Q4.3/S5+c
全体_adj 教授_noun	X9.1 H2 S5+c P1/I3.1/S2mfc
全体_det 干部_noun	S5+c S7.1+
全体_det 成年_adj 男子_noun	S2.2
全体_det 明星_noun 选手_noun 出场_verb	A11.1+
全体_det 机员_noun	M5/S5c
全体_det 红_adj 演员_noun 上演_verb	A11.1+
全体_det 职员_noun	I2.1/H1c I2.1/H2c S7.1+ I3.1 S9 S8+
全体_det 船员_noun	I2.1/S5+c S5+c G3/S5+c S3.1 K4/S5+c M4 M4/S5+c M5/S5+c Q4.3/S5+c
全场_noun 一致的_num	A6.1+
全景_noun 分析器_noun	X3.1 O4.2++
全球_noun 资讯网_noun	Y2
全球性_adj 干涉_noun 政策_noun	A1.8+
全盛_adj 时期_noun	T1.2
全身_noun 泥污_noun	O4.2-
全身_noun 长的_noun	O4.1
全速_adv 跑过_verb	M1/N3.8+
全部_adv 剧目_noun	K4/S5+ K4 K2 N5+
全部_adv 能力_noun	Z8/N5.1+
全部_adv 赌款_verb	S1.1.2+ W3/M4 K5.1/H1 N5+ K5.1 I1/A1.4
全部_det 工作日_noun	T1.3 K5.1/T1.2
全部_det 时间_noun	A13.2
八十_num 个_msr	N1 T3
八十_num 岁_msr	T3
八十_num 的_part 符号_noun	N1 T3
八十多_num 岁_msr	T3
八音阶_pnoun 间隔_verb 的_part 反复_adj 高低音_noun	A6.1+++
公会_noun 会长_noun	S9/S2mf
公会_noun 用_verb 的_part 广场_noun	S1.1.3+c M7
公共_adj 卫生_noun	B4
公共_adj 团体_noun	S5+ H1c S1.1.1 S5+c S7.1+ T2+
公共_adj 学校_noun	B3/H1c
公共_adj 屠宰场_noun	L1-/H1
公共_adj 汽车_noun	M3 M3fn Q4 M3@fn
公共_adj 汽车_noun 上_loc 司机_noun	I3.2/M3/S2mf
公共_adj 马车_noun	M3 M3fn Q4 M3@fn X5.2+
公共_adj 马车业_noun	K4 A1.1.1 A5.4-
公制_verb 尺_msr	N3.1
公务_noun 职员_noun	G3/S7.1+/S2mf G1.1/S2mf S7.1+/S2mf G2.1/S2mf
公司_noun 债券_noun	I1.1
公告_noun 婚礼_noun 的_part 举行_noun	Q2.2
公国_noun 地位_noun	M7 S7.1+
公国_noun 王_noun	S7.1+/S2.2m
公国_noun 的_part 君主_noun	S7.1+/S2.2m
公寓_noun 庄_pnoun	H1
公寓_noun 房屋_noun 的_part 一_num 幢_msr	H1/H4
公开_adv 加以_verb 表扬_noun	Q2.2
公开_adv 发表_verb	B4 Q2.1 O1.3 A8 W1 Q4.3 M1
公开_adv 声言_verb	Q2.2/A5.2
公开_adv 宣布_verb	A10+
公开_adv 展示_verb	K4 O4.2+
公开_adv 指责_verb	Q2.2/E2-
公开_adv 讨论会_noun	S1.1.3+c M7
公报_noun 记者_noun	Q4.1
公文_noun 书_noun 类_noun	M2 Q1.2
公正_verb 的_part 行为_noun	K5.1 L2mfn
公民_noun 投票_noun	G1.2
公然_adv 侮辱_verb	Q2.2/A5.2- Q2.2/A1.1.2 G2.1-
公爵_noun 夫人_noun	S7.1+/S2.1f
公理_noun 教会_noun	S5+ S9 S5+/S9c S1.1.3+c S5+c
公用_adj 荷兰语_noun	Z2/S2mf
公用_adj 设施_noun	A1.5.2 O2
公益_noun 事业_noun	A1.5.2 O2
公车_noun 的_part 载量_noun	M3/N5+
六_num 个_msr	N1 T3 T1.2
六_num 先令_msr	N1 T3 T1.2
六_num 寸_msr 片_noun	H5 G1.1
六_num 岁_msr	N1 T3 T1.2
六_num 度_msr 音程_noun	N1

六_num 的_part 记号_noun	N1 T3 T1.2
六_num 脚_noun 器_noun	L2 M3
六便士_pnoun 银币_noun	A1.1.1/S2mf I1
六十_num 个_msr	N1 T3
六十_num 分之一_msr	N4
六十_num 岁_msr	N1 T3
六十_num 馀岁_noun	N1 T3
共_adv 生的_verb	S8+
共_adv 用_verb	S1.1.2+
共_adv 睹_verb	A11.2+
共产主义_noun 社会_noun	G1.2
共产党_pnoun 内部_noun 的_part 分派_verb	N5- N2
共享_verb 的_part 人_noun	S1.1.3+/S2mf
共同_adj 生活_noun	S8+
共同_adj 生活_noun 团体_noun	S5+c
共同_adj 的_part 朋友_noun	S1.1.2+
共同_adj 统治_noun	H1
共同_adv 一_num 致_verb	S5+
共同_adv 使用权_noun	A6.2+ N5++ S5+ O4.2- M7
共同_adv 保有_verb	S5+ N1%
共同_adv 搭乘_verb	A2.2 S5+ A1.8+ A1.1.1 O2
共同_adv 生产_verb	A1.1.1/S5+ Q4.3/S5+
共同_adv 研究者_noun	S1.1.3+/S2mf G3/S2mf
共同_adv 行使_verb	E6- K2
共和_pnoun 主义者_noun	G1.2 G1.2/S2mf
共和_pnoun 党员_noun	G1.2 G1.2/S2mf
共和_pnoun 政体_noun	G1.2 S5+/M7 G1.2/S2mf
关_verb 动物_noun 的_part 兽栏_noun	A10-
关上_verb 店门_noun	A10-
关上_verb 的_part 套窗_noun	A10- A1.7+
关于_prep 人_noun 与_conj 人_noun 之间_loc 关系_noun	S1.1.1
关于_prep 动物_noun	L2
关于_prep 外国_noun	M7
关于_prep 属类_noun	A4.2-
关于_prep 档案_noun	Q1.2/A9+
关于_prep 植物_noun	F1 X9.1-/S2mf
关于_prep 此点_noun	Z5
关于_prep 法庭_noun	G2.1
关于_prep 那个_det	Z5
关入_verb 栅栏_noun	Q1.2/A10- H5 K5.2
关入_verb 猪栏_noun	L2/H1 B2- O4.2-
关在_verb 修道_noun 院里_noun	H3/S9 S9/S5- S9/H1 S5-
关在_verb 栏中_noun	A1.7+
关在_verb 私室_noun 内_loc	A10- H5
关心_verb 家事_noun	E4.2+/H1 B4/H1
关税_noun 制度_noun	I1.3
关税_noun 风俗_noun	A6.2+ G2.1/I2.2
关系_noun 上_loc	A13/A6
关系_noun 到_verb 说_verb	A2.2 S3.1 X2.5+ Q2.1
关节_noun 联接_verb	O4.1 Q3
关贸_adj 总协定_noun	Z3
关起_verb 来_verb	A7+ A15+ A1.7+ E6+ A9+ X3.2/L2
关进_verb 兽栏_noun	A10-
关进_verb 栏中_noun	A1.1.1 T2- O4.4 M7/L2
关进_verb 牢里_noun	O2 F1
关键_noun 之_part 所在_noun	M7/S2mf
兴奋_noun 状态_noun	G1.1c O4.1 O2 E6- M1 Q4.1 Q2.1
兴奋_verb 的_part 高潮_noun	B1
兴致_noun 好的_verb	X2.5+/E1 S8+ A6.1+
兴致_noun 蓬勃_verb	O2/W2
兴风_noun 作浪_verb	M1 E3-
兴高采烈_verb 地说_verb	X3.2
其_pron 低音_noun	L2mn X3.2+
其_pron 声音_noun	A1.1.1 X3.2 M2 F1 A1.1.1/O4.5 X8+ K1 E3- B1 X5.2- O4.5 X8+/S2mf
其_pron 容量_noun	F2 G3
其_pron 建筑物_noun	S9/H1
其_pron 晒干_verb 的_part 花_noun	F3
其_pron 服装店_noun	B5
